,summary,title,category
448,"Goal of Position: To help provide office assistance related to ongoing programs in the Special Projects Department Activities: Data entry, filing, research, report creation and analysis, official document editing",Administrative Support Volunteer,Emergency Preparedness
449,Help a small non-profit move their things from one storage space to another on Wednesday September 28 from 12 - 3pm!,Moving storage!,
450,Please join us at the Ft Tryon Park!  First time gardener's and those whom have never done any gardening work are welcome! Groups are welcome as well!  Please be prepared to be flexible and dress accordingly as we will be doing various gardening tasks.,Gardening at Ft Tryon Park,Strengthening Communities
451,Volunteers needed to deliver meals to home bound individuals.  Meal delivery takes about an hour or two and your route can be close to your home or place of employment.,Help Feed Hungry New Yorkers --55+ Only,Helping Neighbors in Need
452,"Chhaya CDC seeks volunteers to promote its exciting new program called Retrofit, Block by Block.  By linking eligible homeowners and tenants to free or low-cost home energy assessments and improvements, Chhaya will help New Yorkers save money on utility bills while greening our communities.",Energy Efficiency Outreach,Environment
453,"The kids and the Street Project volunteers will be enjoying a day of laser tag at the NYC Paintball and Laser Tag center over in Long Island City, Queens.",Laser Tag with Harlem Dowling 175th Street ,Strengthening Communities
454,"Research, writing and editing volunteers needed","Seeking Research, Writing, and Editing Volunteers",Strengthening Communities
455,This is an opportunity for adults and high school students to obtain information regarding volunteer opportunities in a hospital/healthcare environment,Volunteer Open House,Health
456,Volunteer as little as one hour per week to work with our seniors on arts and crafts project.,JASA Volunteer Art Teacher at Mill Basin Senior Center,Helping Neighbors in Need
457,"Enjoy a little country right here in Manhattan with live performances, carnival rides, a reptile show, and more at Summer on the Hudson’s 9th Annual West Side County Fair, a park-wide event on Saturday, September 10, from 1-6 pm.",9th Annual West Side County Fair,Strengthening Communities
458,Help with MLK celebration event,JASA Van Cortlandt Day of Remembrance Volunteer,Strengthening Communities
459,"The accounting intern/ volunteer will be exposed to a number of topics in the accounting discipline such as basic accounting and bookkeeping, cost-benefit analysis, reporting, socially-responsible investing.",Accounting Volunteer Opportunity,Strengthening Communities
460,Deliver a holiday package to a senior on the anniversary of 9/11.,DOROT's 9/11 Day of Service and Rosh Hashanah Package Delivery!,Helping Neighbors in Need
461,Assist teachers in an Early Head Start program.,Classroom Assistants,Education
462,A residential substance abuse treatment program needs a teacher for men and women ON-SITE at 2071 Fulton St. Brooklyn. Experience working with students at multiple levels is PREFERRED. Minimum three days a week. ..10-20 students.,Teacher for ABE and Pre-GED students,Helping Neighbors in Need
463,The 9/11 Memorial is seeking dedicated volunteers to support the Visitor Services staff and to play a vital role in providing a meaningful experience to visitors from around the world coming to one of the world’s foremost historical sites.,9/11 Memorial Volunteers - A Mission of Honor & Hope,Strengthening Communities
464,Common Cents is recruiting volunteers to help with our first Annual Run for Change 5K Run/ Walk.,Penny Harvest Run For Change!,Strengthening Communities
465,"Our After School programs/clinics are designed to foster self-esteem & leadership skills. Skills Required: Experience playing/coaching soccer + an interest in working w/ children is a must! Futsal experience is a plus, but not necessary as we will educate you about the game and how to coach Futsal.",Soccer/Futsal Assistant Coach,Health
466,ASA's Senior Alliance Senior Center is looking for volunteer registrars to assist with the greeting and registering of our members for daily lunch and classes. Volunteers should be mature and organized. We look forward to hearing from you!,Senior Alliance Registrar,Helping Neighbors in Need
467,"As we collect the names of thousands of safe street supporters all summer long, we need help entering them in our database.  Our office has a fun, welcoming staff, and a fridge stocked with cold drinks! Come help us make NYC the bike friendly city of your dreams!",Transportation Alternatives Bike Ambassador Data Entry Volunteers,Education
468,Attend a Breakfast Orientation to learn more about  rewarding opportunities to mentor youth ages 6 to 18.  You must be age 55+ and become a member of the Retired & Senior Volunteer Program (RSVP).,"Mentors, Register to Attend A Breakfast Orientation January 24, 2011",Strengthening Communities
469,The International High School @ Prospect Heights is currently seeking to provide un-paid assistance to local businesses and organizations from March - June 2011.,Does your organization need an intern?,Education
470,Help build a sculpture from plastic bottles to raise recycling awareness and promote the high quality of  NYC Water.,Help Build a Plastic Bottle Sculpture,Strengthening Communities
